"theme","formateur","stars_rating","knowledge","professionalism","communication","overall_score","relevence","structure","duration","clarity","environment","typef"
Microsoft Project,Noor Al-Harbi,1,2,3,2,2,2,3,1,2,2,1
Microsoft Project,Noor Al-Harbi,0,2,2,2,3,2,2,2,2,2,1
Microsoft Project,Noor Al-Harbi,1,1,2,3,2,2,1,2,1,2,1
Microsoft Project,Noor Al-Harbi,4,1,2,2,3,3,1,1,3,2,1
Microsoft Project,Noor Al-Harbi,0,2,3,2,2,2,2,1,2,3,1
Microsoft Project,Noor Al-Harbi,3,3,3,3,2,2,1,2,2,3,1
Microsoft Project,Noor Al-Harbi,0,1,3,3,2,2,3,2,2,2,1
Microsoft Project,Noor Al-Harbi,0,1,3,2,2,1,3,2,2,1,1
Microsoft Project,Noor Al-Harbi,3,3,3,3,2,2,2,3,3,2,1
Microsoft Project,Hassan Al-Subhi,4,2,2,3,3,3,2,3,3,2,1
Microsoft Project,Hassan Al-Subhi,4,3,3,2,3,2,3,2,3,2,1
Microsoft Project,Hassan Al-Subhi,4,3,2,2,3,3,3,3,3,2,1
Microsoft Project,Hassan Al-Subhi,0,3,3,3,3,1,3,1,1,2,1
Microsoft Project,Hassan Al-Subhi,3,2,3,2,2,2,2,3,2,3,1
Microsoft Project,Hassan Al-Subhi,4,2,3,2,2,3,3,1,3,3,1
Microsoft Project,Hassan Al-Subhi,4,1,2,2,3,2,3,3,3,3,1
Microsoft Stream,Amin Al-Juaied,1,1,2,3,2,1,2,1,2,2,1
Microsoft Stream,Amin Al-Juaied,5,1,3,3,3,2,1,3,2,2,1
Microsoft Stream,Amin Al-Juaied,0,1,3,2,2,1,3,1,2,2,1
Microsoft Stream,Amin Al-Juaied,4,2,2,3,3,2,3,1,2,2,1
Microsoft Stream,Amin Al-Juaied,4,1,2,3,3,2,1,1,3,3,1
Microsoft Stream,Amin Al-Juaied,1,3,2,3,3,2,3,1,1,3,1
Microsoft Stream,Amin Al-Juaied,3,2,3,2,2,2,1,2,2,3,1
Microsoft Stream,Amin Al-Juaied,0,1,2,2,2,1,2,2,1,2,1
Microsoft Stream,Amin Al-Juaied,3,2,3,3,3,2,1,2,3,3,1
Microsoft Stream,Amin Al-Juaied,1,2,3,3,3,1,3,1,2,1,1
Microsoft Visio,Amin Al-Juaied,5,1,2,2,2,2,3,1,3,3,1
Microsoft Visio,Amin Al-Juaied,5,2,2,2,3,2,1,3,3,3,1
Microsoft Visio,Amin Al-Juaied,4,2,2,3,2,3,2,2,3,3,1
Microsoft Visio,Amin Al-Juaied,4,3,3,2,2,3,3,3,3,3,1
Microsoft Visio,Amin Al-Juaied,1,3,3,2,2,2,3,2,2,3,1
Microsoft Stream,Aisha Al-Shammari,2,1,1,2,1,1,3,1,1,3,1
Microsoft Stream,Aisha Al-Shammari,5,1,2,2,1,2,3,1,2,2,1
Microsoft Stream,Aisha Al-Shammari,3,1,2,1,1,2,3,3,3,2,1
Microsoft Stream,Aisha Al-Shammari,5,2,1,1,1,3,3,1,2,2,1
Microsoft Stream,Aisha Al-Shammari,5,1,1,1,1,3,1,2,2,2,1
Microsoft Stream,Aisha Al-Shammari,0,1,1,1,1,1,3,2,1,1,1
Microsoft Excel,Fatima Al-Jamal,0,1,2,2,2,2,1,2,2,2,0
